role_name,skills,avg_salary_idr,vacancy_count,experience_required,source
Backend Developer,"php,laravel,javascript,api,mysql",12000000,1580,1,"Jobstreet 2024 & Michael Page Salary Report 2024"
Frontend Developer,"html,css,javascript,react,vue",10000000,1320,1,"Jobstreet 2024 & Robert Walters Tech Salary 2024"
Data Analyst,"python,sql,excel,tableau,statistics",11000000,980,1,"LinkedIn Jobs 2024 & Michael Page Data Salary 2024"
UI UX Designer,"figma,wireframe,prototyping,ux research",9000000,650,1,"Glints 2024 & Robert Walters Creative Salary 2024"
Network Engineer,"networking,cisco,troubleshooting,linux",8000000,420,1,"Jobstreet 2024 & BPS Teknologi Informasi"
IT Support,"troubleshooting,hardware,software,customer service",6000000,1100,0,"Jobstreet 2024"
Mobile Developer,"flutter,dart,android,ios",13000000,480,1,"LinkedIn Jobs 2024"
Full Stack Developer,"php,laravel,react,nodejs,mysql",14000000,770,2,"Jobstreet 2024"
Digital Marketing,"seo,sem,google ads,social media",8000000,1250,0,"Glints 2024"
Cloud Engineer,"aws,azure,devops,linux",15000000,380,2,"LinkedIn Cloud Jobs Trends 2024"


Stroller 2 carsit || yg dateng 1 
